查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
点击时间,展现指数,点击指数,点击率(%),加购指数,加购率(%),转化率(%),成交率 %
20250413,8508356,441709,5.19,262934,59.53,10.70,81.28
20250414,8653358,417637,4.83,240952,57.69,10.32,82.54
20250415,8413988,397858,4.73,233204,58.61,10.38,83.57
20250416,8215779,384197,4.68,222709,57.97,10.22,83.25
20250417,8809770,404637,4.59,235985,58.32,10.16,83.56
20250418,2361876,113888,4.82,63787,56.01,9.59,83.80
